Date,Type,Team,Goalkeeper,MIN,GA,SV,CS,PCH,TCH,DS,SS,ACIB,ACOB,OG
45862,Regular,AFC Toronto,Sofia Manner,90,2,1,0,0,28,0,0,3,5,0
45863,Regular,Ottawa Rapid FC,Melissa Dagenais,90,0,1,1,0,26,0,0,0,4,0
45863,Regular,Halifax Tides FC,Anika Tóth,90,1,6,0,1,59,1,0,8,6,0
45864,Regular,Montreal Roses FC,Anna Karpenko,90,0,3,1,1,60,0,0,4,2,0
45864,Regular,Calgary Wild FC,Stephanie Bukovec,90,2,3,0,0,49,0,0,10,4,0
45871,Regular,Halifax Tides FC,Anika Tóth,90,1,2,0,0,57,0,0,4,4,0
45871,Regular,Montreal Roses FC,Anna Karpenko,90,1,1,0,1,55,0,0,4,4,0
45871,Regular,Calgary Wild FC,Stephanie Bukovec,90,2,2,0,0,49,1,0,5,3,0
45871,Regular,AFC Toronto,Sofia Manner,90,1,5,0,0,44,1,1,6,7,0
45871,Regular,Vancouver Rise FC,Kirstin Tynan,90,3,6,0,0,39,0,0,10,5,0
45871,Regular,Ottawa Rapid FC,Melissa Dagenais,90,3,2,0,1,38,0,0,10,6,0
45878,Regular,Montreal Roses FC,Anna Karpenko,90,2,1,0,0,32,0,0,5,3,0
45878,Regular,AFC Toronto,Sierra Deolinda Cota-Yarde,90,1,4,0,0,43,0,1,7,11,0
45878,Regular,Ottawa Rapid FC,Melissa Dagenais,90,1,4,0,0,54,2,0,11,3,0
45878,Regular,Calgary Wild FC,Stephanie Bukovec,90,0,3,1,0,37,1,0,14,6,0
45878,Regular,Halifax Tides FC,Anika Tóth,90,0,6,1,0,54,1,0,5,8,0
45878,Regular,Vancouver Rise FC,Morgan McAslan,90,0,3,1,0,35,0,0,9,4,0
45882,Regular,Ottawa Rapid FC,Melissa Dagenais,90,1,3,0,1,35,0,0,4,3,0
45882,Regular,AFC Toronto,Sierra Deolinda Cota-Yarde,90,1,2,0,1,32,0,0,8,5,0
45885,Regular,Montreal Roses FC,Anna Karpenko,36,2,0,0,0,17,0,0,2,0,0
45885,Regular,Montreal Roses FC,Gabrielle Lambert,54,0,3,0,0,30,0,0,3,1,0
45885,Regular,Ottawa Rapid FC,Melissa Dagenais,90,0,2,1,0,36,0,0,12,2,0
